appid,game_name,filename,status,source_title,source_url,match_score,extract_chars,extract_words
1971870,Mortal Kombat 1,1971870_Mortal Kombat 1.txt,ok,Mortal Kombat 1,https://en.wikipedia.org/wiki/Mortal_Kombat_1,8.00,20593,3324
1194630,The Dark Pictures Anthology: Little Hope,1194630_The Dark Pictures Anthology - Little Hope.txt,existing,The Dark Pictures Anthology: Little Hope,,,20446,3059
1244090,Sea of Stars,1244090_Sea of Stars.txt,existing,Sea of Stars,,,20301,3324
2369390,Far Cry 6,2369390_Far Cry 6.txt,ok,Far Cry 6,https://en.wikipedia.org/wiki/Far_Cry_6,8.00,20217,3289
1895880,Ratchet & Clank: Rift Apart,1895880_Ratchet & Clank - Rift Apart.txt,ok,Ratchet & Clank: Rift Apart,https://en.wikipedia.org/wiki/Ratchet_%26_Clank:_Rift_Apart,8.00,19733,3205
1238810,Battlefield V,1238810_Battlefield V.txt,existing,Battlefield V,,,19700,3229
960990,Beyond: Two Souls,960990_Beyond - Two Souls.txt,ok,Beyond: Two Souls,https://en.wikipedia.org/wiki/Beyond:_Two_Souls,8.00,19617,3169
1144200,Ready or Not,1144200_Ready or Not.txt,existing,Ready or Not (video game),,,19592,3154
1222140,Detroit: Become Human,1222140_Detroit - Become Human.txt,existing,Detroit: Become Human,,,19542,3086
1420290,No More Heroes,1420290_No More Heroes.txt,ok,No More Heroes (video game),https://en.wikipedia.org/wiki/No_More_Heroes_(video_game),7.31,19435,3238
648800,Raft,648800_Raft.txt,ok,Raft (video game),https://en.wikipedia.org/wiki/Raft_(video_game),5.53,19373,3151
1567020,The Dark Pictures Anthology: The Devil in Me,1567020_The Dark Pictures Anthology - The Devil in Me.txt,ok,The Dark Pictures Anthology: The Devil in Me,https://en.wikipedia.org/wiki/The_Dark_Pictures_Anthology:_The_Devil_in_Me,8.00,19172,2921
2344520,Diablo IV,2344520_Diablo IV.txt,ok,Diablo IV,https://en.wikipedia.org/wiki/Diablo_IV,8.00,19096,3030
960910,Heavy Rain,960910_Heavy Rain.txt,ok,Heavy Rain,https://en.wikipedia.org/wiki/Heavy_Rain,8.00,18909,3098
427410,Abiotic Factor,427410_Abiotic Factor.txt,ok,Abiotic Factor,https://en.wikipedia.org/wiki/Abiotic_Factor,8.00,18777,2940
1517290,Battlefield 2042,1517290_Battlefield 2042.txt,ok,Battlefield 2042,https://en.wikipedia.org/wiki/Battlefield_2042,8.00,18727,2961
1805480,Like a Dragon: Ishin!,1805480_Like a Dragon - Ishin!.txt,ok,Like a Dragon: Ishin!,https://en.wikipedia.org/wiki/Like_a_Dragon:_Ishin!,8.00,18616,2962
1057090,Ori and the Will of the Wisps,1057090_Ori and the Will of the Wisps.txt,existing,Ori and the Will of the Wisps,,,18539,3143
1092790,Inscryption,1092790_Inscryption.txt,existing,Inscryption,,,18532,3097
